rating,openness,agreeableness,emotional_stability,conscientiousness,extraversion
3.7018095987411486,5.402832415420929,4.239181746656176,4.579071597167585,4.647521636506688,3.5255704169944924
3.0981387478849407,5.3790186125211505,4.2055837563451774,4.570219966159052,4.739424703891709,3.4805414551607443
2.775,5.291666666666667,4.220833333333333,4.833333333333333,4.8375,3.3958333333333335
2.03125,5.265625,4.34375,4.5,4.734375,3.59375
2.6442953020134228,5.426174496644295,4.322147651006712,4.476510067114094,4.882550335570469,3.38255033557047
3.84375,5.334375,4.1,4.697916666666667,4.753125,3.394791666666667
2.9328358208955225,5.455223880597015,4.541044776119403,4.708955223880597,4.869402985074627,3.638059701492537
2.357142857142857,5.4523809523809526,4.309523809523809,4.238095238095238,4.714285714285714,3.3095238095238093
2.409090909090909,5.068181818181818,4.534090909090909,4.920454545454546,4.943181818181818,3.6363636363636362
3.298405466970387,5.350797266514807,4.161731207289294,4.711845102505695,4.755125284738041,3.3189066059225514
3.3275862068965516,5.344827586206897,4.330049261083744,4.689655172413793,4.8669950738916254,3.4482758620689653
2.5686274509803924,5.328431372549019,3.980392156862745,4.642156862745098,4.700980392156863,3.303921568627451
3.2758620689655173,5.189655172413793,4.241379310344827,4.224137931034483,4.646551724137931,3.5086206896551726
3.30327868852459,5.360655737704918,4.319672131147541,4.729508196721311,5.040983606557377,3.5081967213114753
2.3181818181818183,5.125,4.181818181818182,4.818181818181818,4.931818181818182,3.409090909090909
3.90153452685422,5.4258312020460355,4.071611253196931,4.643222506393862,4.68542199488491,3.4437340153452687
3.5963855421686746,5.453815261044177,4.516064257028113,4.634538152610442,4.827309236947791,3.4578313253012047
3.3353293413173652,5.407185628742515,4.077844311377246,4.676646706586826,4.724550898203593,3.467065868263473
2.6536203522504893,5.473581213307241,4.195694716242661,4.614481409001957,4.7279843444227,3.6731898238747553
2.689655172413793,5.301724137931035,4.387931034482759,4.870689655172414,4.603448275862069,3.4655172413793105
3.4238754325259517,5.403114186851211,4.1678200692041525,4.773356401384083,4.698961937716263,3.491349480968858
3.076923076923077,5.252136752136752,4.217948717948718,4.756410256410256,4.897435897435898,3.4145299145299144
2.9642857142857144,5.130952380952381,4.166666666666667,4.678571428571429,4.744047619047619,3.4583333333333335
3.036036036036036,5.364864864864865,4.324324324324325,4.63963963963964,4.891891891891892,3.364864864864865
3.6117424242424243,5.471590909090909,4.071969696969697,4.53219696969697,4.797348484848484,3.397727272727273
3.357142857142857,5.392857142857143,4.678571428571429,5.083333333333333,4.988095238095238,3.392857142857143
2.8333333333333335,5.305555555555555,4.388888888888889,4.111111111111111,4.541666666666667,3.3194444444444446
3.5816326530612246,5.224489795918367,4.459183673469388,4.6938775510204085,5.1020408163265305,3.3979591836734695
3.7222222222222223,5.553418803418803,4.055555555555555,4.555555555555555,4.611111111111111,3.33974358974359
4.045454545454546,5.590909090909091,4.2272727272727275,4.409090909090909,4.409090909090909,3.6363636363636362
2.9471830985915495,5.352112676056338,4.27112676056338,4.640845070422535,4.767605633802817,3.507042253521127
3.9632183908045975,5.406896551724138,4.097126436781609,4.61264367816092,4.637931034482759,3.452873563218391
1.75,4.5,4.25,5.25,4.25,3.5
3.283095723014257,5.410386965376782,4.295315682281059,4.60285132382892,4.69857433808554,3.3289205702647657
3.3666666666666667,5.466666666666667,4.533333333333333,4.433333333333334,5.333333333333333,3.933333333333333
3.5973451327433628,5.393805309734513,4.31858407079646,4.79424778761062,4.913716814159292,3.5730088495575223
2.0,6.0,6.5,6.5,7.0,5.5
2.15625,5.203125,4.390625,4.21875,4.65625,3.484375
